,combinations,alpha,epsilon,gamma,i_max,mean_score,median_score
10,"(0.05, 0.1, 1, 2000)",0.05,0.1,1.0,2000,"[ 0.69   1.42   3.2    5.065  5.28  22.41  15.6   21.745 52.99  39.65
 13.37  26.245 18.25  30.815 43.61 ]","[ 0.5   0.75  2.5   3.3   3.5  15.5  10.1  15.45 38.25 22.55  9.1  21.15
 14.55 25.85 25.5 ]"
11,"(0.05, 0.1, 1, 2500)",0.05,0.1,1.0,2500,"[  0.65    1.33    3.59    9.29    4.35   11.185  25.055  41.055  18.52
  82.325  63.9    17.9    89.455  24.695 250.97 ]","[  0.35   0.95   2.6    6.95   3.05   7.75  17.65  30.7   12.9   75.9
  46.1   11.4   60.2   19.05 246.9 ]"
12,"(0.1, 0.05, 0.9, 1500)",0.1,0.05,0.9,1500,"[4.350000e-01 1.185000e+00 5.190000e+00 5.010000e+00 1.094500e+01
 2.406000e+01 2.896350e+02 2.291450e+02 2.175150e+02 1.168095e+03
 8.376800e+02 7.212250e+02 1.232910e+03 1.013040e+03 5.535600e+02]","[2.50000e-01 7.50000e-01 3.65000e+00 3.45000e+00 8.10000e+00 1.81000e+01
 2.74700e+02 2.16750e+02 1.84400e+02 1.21850e+03 7.83900e+02 6.63100e+02
 1.16215e+03 1.00305e+03 5.13300e+02]"
13,"(0.1, 0.05, 0.9, 2000)",0.1,0.05,0.9,2000,"[6.10000e-01 1.24000e+00 2.35000e+00 4.40500e+00 4.37500e+00 2.22150e+01
 4.21500e+01 6.49900e+01 9.32270e+02 1.37328e+03 8.35495e+02 7.39285e+02
 9.47240e+02 1.35001e+03 1.14382e+03]","[3.00000e-01 1.10000e+00 1.70000e+00 2.95000e+00 3.00000e+00 1.58500e+01
 2.97000e+01 4.37000e+01 8.81250e+02 1.40645e+03 7.88000e+02 7.12750e+02
 8.99900e+02 1.31425e+03 1.08775e+03]"
14,"(0.1, 0.05, 0.9, 2500)",0.1,0.05,0.9,2500,"[6.900000e-01 1.940000e+00 3.220000e+00 4.655000e+00 4.820000e+00
 1.511000e+01 1.792350e+02 8.795500e+01 8.042550e+02 9.312750e+02
 9.170600e+02 8.093450e+02 1.030495e+03 1.633210e+03 1.864240e+03]","[5.50000e-01 1.60000e+00 1.90000e+00 3.10000e+00 3.30000e+00 9.60000e+00
 2.13850e+02 6.00500e+01 8.21300e+02 9.88750e+02 9.18750e+02 7.67700e+02
 9.73050e+02 1.62285e+03 1.85035e+03]"
15,"(0.1, 0.05, 1, 1500)",0.1,0.05,1.0,1500,"[8.100000e-01 1.970000e+00 8.425000e+00 6.800000e+00 1.303500e+01
 2.653000e+01 9.976500e+01 3.205350e+02 9.797550e+02 1.579455e+03
 1.697090e+03 1.496585e+03 1.405660e+03 1.390025e+03 1.148520e+03]","[4.00000e-01 1.25000e+00 4.10000e+00 4.30000e+00 1.03000e+01 1.93000e+01
 6.12500e+01 2.48800e+02 9.40600e+02 1.55275e+03 1.67220e+03 1.51745e+03
 1.42385e+03 1.38890e+03 1.10600e+03]"
16,"(0.1, 0.05, 1, 2000)",0.1,0.05,1.0,2000,"[7.400000e-01 1.660000e+00 4.180000e+00 7.110000e+00 1.092000e+01
 1.393500e+02 2.564900e+02 5.938250e+02 1.111740e+03 1.447880e+03
 1.409035e+03 1.133615e+03 1.663390e+03 1.815380e+03 1.467100e+03]","[3.00000e-01 1.00000e+00 3.00000e+00 4.35000e+00 7.70000e+00 9.43500e+01
 2.98300e+02 6.46450e+02 1.12210e+03 1.37665e+03 1.35145e+03 1.09450e+03
 1.65240e+03 1.81120e+03 1.45135e+03]"
17,"(0.1, 0.05, 1, 2500)",0.1,0.05,1.0,2500,"[7.300000e-01 1.125000e+00 2.525000e+00 6.495000e+00 5.080000e+00
 2.054000e+01 3.717500e+01 3.779700e+02 1.208260e+03 1.234105e+03
 1.158105e+03 1.719595e+03 1.016760e+03 1.538190e+03 1.520505e+03]","[4.00000e-01 1.00000e+00 1.60000e+00 4.10000e+00 3.35000e+00 1.28500e+01
 2.24000e+01 3.15850e+02 1.16615e+03 1.22090e+03 1.19450e+03 1.71365e+03
 9.99900e+02 1.49530e+03 1.48940e+03]"
18,"(0.1, 0.1, 0.9, 1500)",0.1,0.1,0.9,1500,"[5.10000e-01 1.63000e+00 2.24500e+00 3.09000e+00 5.14500e+00 8.70500e+00
 7.01000e+00 2.72000e+01 3.49900e+01 1.56345e+02 5.80000e+02 7.23260e+02
 7.11370e+02 8.76275e+02 6.82535e+02]","[2.0000e-01 1.2000e+00 1.4500e+00 2.3000e+00 3.3000e+00 6.1000e+00
 4.6000e+00 2.2150e+01 2.6100e+01 1.2475e+02 5.6950e+02 6.9140e+02
 6.7650e+02 8.6185e+02 6.5395e+02]"
19,"(0.1, 0.1, 0.9, 2000)",0.1,0.1,0.9,2000,"[6.40000e-01 1.33500e+00 2.21000e+00 3.72000e+00 4.64000e+00 9.19500e+00
 9.65000e+00 1.50100e+01 5.39900e+01 5.12900e+01 4.62080e+02 4.82990e+02
 5.51115e+02 6.68625e+02 7.02995e+02]","[4.0000e-01 9.0000e-01 1.2500e+00 2.9000e+00 3.3000e+00 7.2500e+00
 7.2500e+00 1.1150e+01 3.0900e+01 3.6700e+01 4.6250e+02 4.4890e+02
 5.4555e+02 5.9475e+02 6.7880e+02]"
20,"(0.1, 0.1, 0.9, 2500)",0.1,0.1,0.9,2500,"[4.60000e-01 1.54500e+00 3.80500e+00 4.18500e+00 8.65500e+00 1.52000e+01
 9.22000e+00 4.50600e+01 2.54280e+02 1.27135e+02 2.54870e+02 9.78750e+01
 6.04055e+02 1.19016e+03 1.79775e+03]","[1.50000e-01 9.00000e-01 2.40000e+00 2.75000e+00 6.50000e+00 1.03000e+01
 7.00000e+00 3.57500e+01 2.42000e+02 9.44000e+01 2.37750e+02 6.77000e+01
 5.39450e+02 1.18990e+03 1.83935e+03]"
21,"(0.1, 0.1, 1, 1500)",0.1,0.1,1.0,1500,"[  0.715   1.62    3.16    5.425   5.675   8.865 209.085  28.07   27.12
  53.74  314.305 385.795 264.915 368.14  236.2  ]","[  0.4    1.05   2.55   3.85   4.05   7.1  206.45  22.4   17.7   39.55
 301.   385.55 300.5  334.2  260.25]"
